decibelMedia,decibelDesvioPadrao,decibelMediana,pitchMedia,pitchDesvioPadrao,pitchMediana,Classe
23.74273757,11.24893294,27.69976963,191.6113281,0,191.6113281,Horota
24.83957321,10.04585046,28.68154211,143.7084961,95.80566406,191.6113281,Horota
20.26862301,10.94141075,26.71799714,127.7408854,110.6268519,191.6113281,Horota
14.04817393,14.59072974,9.481956681,63.87044271,110.6268519,0,Horota
11.72171924,16.72062883,9.481956681,0,0,0,Horota
4.998070492,14.8504869,-4.384248241,0,0,0,Horota
-1.881195673,6.361351021,-4.397570168,0,0,0,Horota
-4.468365976,0.661824669,-4.397570168,0,0,0,Horota
-4.054160859,1.175987364,-4.397570168,0,0,0,Horota
-1.877861453,4.816216163,-3.453894837,0,0,0,Horota
6.083000606,16.70913075,-2.313222655,0,0,0,Horota
13.04918489,18.05180505,6.483926864,0,0,0,Horota
14.49027006,16.63717041,6.483926864,0,0,0,Horota
16.02680891,14.96837163,6.483926864,0,0,0,Horota
15.25403531,15.66761828,5.369471587,0,0,0,Horota
8.806379328,11.71245775,3.751530996,0,0,0,Horota
2.699077286,2.292587455,2.629328774,0,0,0,Horota
1.363036631,3.265834967,2.620058878,0,0,0,Horota
-0.842475775,3.591169433,-0.875003806,0,0,0,Horota
-2.551432605,3.564527952,-2.928672278,0,0,0,Horota
-4.045219718,2.124964178,-4.839606792,0,0,0,Horota
-4.379504651,1.557182169,-4.839606792,0,0,0,Horota
2.902349037,17.14536832,-4.839606792,0,0,0,Horota
13.70068992,25.41432912,-2.54642847,0,0,0,Horota
24.52772499,26.47260699,33.48059616,0,0,0,Horota
31.86955794,23.98016863,40.84552313,52.88991292,74.79763217,52.88991292,Horota
41.94905239,7.508528721,42.99099971,70.5198839,61.07201093,105.7798258,Horota
41.22290731,8.653632632,42.99099971,105.7798258,0,105.7798258,Horota
38.85267176,8.866788435,37.77154931,106.1585999,0.757548014,105.7798258,Horota
29.26693698,9.229047978,30.57601585,106.3858643,0.829852272,105.7798258,Horota
35.03305169,13.77591617,34.17378258,106.6888835,0.829852272,107.2949219,Horota
34.12021915,16.72316418,30.57601585,108.5172979,3.639892455,107.2949219,Horota
42.88902439,20.42314302,52.33139582,110.3457124,4.177467007,107.2949219,Horota
44.38859038,16.94298202,50.60934208,111.8711077,4.177467007,114.9218983,Horota
45.62703344,14.52068384,50.60934208,113.0151542,3.813488188,114.9218983,Horota
43.39224599,16.92068967,48.88728834,114.9218983,0,114.9218983,Horota
43.39224599,16.92068967,48.88728834,116.627711,3.411625453,114.9218983,Horota
36.64715319,17.31016513,36.64715319,118.3335237,3.939405748,118.3335237,Horota
33.24000268,12.49172667,33.24000268,119.4707322,3.939405748,121.7451492,Horota
42.07298731,0,42.07298731,120.0393364,3.411625453,121.7451492,Horota
43.12554089,1.488535536,43.12554089,121.7451492,0,121.7451492,Horota
43.12554089,1.488535536,43.12554089,121.7451492,0,121.7451492,Horota
43.12554089,1.488535536,43.12554089,124.494596,4.762181565,121.7451492,Horota
48.52213373,6.143399258,48.52213373,125.8693194,4.762181565,125.8693194,Horota
50.50073839,5.533110012,52.86617301,127.9314045,4.124170213,129.9934896,Horota
51.36312189,4.060639217,52.86617301,127.9314045,4.124170213,129.9934896,Horota
50.46507537,3.770739644,50.3185544,129.9934896,0,129.9934896,Horota
51.09669134,3.557885859,52.86617301,129.9934896,0,129.9934896,Horota
50.65432093,3.946322147,50.69704552,88.42430751,58.78770107,88.42430751,Horota
49.38644534,3.703395282,47.7709358,46.85512543,0,46.85512543,Horota
50.89169973,2.945469211,51.28100816,46.85512543,0,46.85512543,Horota
52.04650115,1.365613408,51.28100816,46.85512543,0,46.85512543,Horota
51.05743691,0.348436019,51.23534006,46.85512543,0,46.85512543,Horota
50.9925341,0.312710631,51.01658286,46.85512543,0,46.85512543,Horota
50.9925341,0.312710631,51.01658286,64.27499317,30.17209599,46.85512543,Horota
51.43349072,1.10216652,51.01658286,81.69486091,30.17209599,99.11472866,Horota
51.19895933,1.248486179,50.72689409,99.11472866,0,99.11472866,Horota
51.37995827,1.463390896,50.79782567,101.3083501,4.387242877,99.11472866,Horota
49.42916928,4.11887115,50.29721449,101.3083501,4.387242877,99.11472866,Horota
49.42916928,4.11887115,50.29721449,103.5019715,5.065951712,103.5019715,Horota
48.57417399,3.143886096,50.29721449,105.695593,4.387242877,107.8892144,Horota
45.08932441,5.320050628,44.9454587,107.8892144,0,107.8892144,Horota
45.08932441,5.320050628,44.9454587,107.8892144,0,107.8892144,Horota
40.53969721,9.610612246,39.84266575,107.8892144,0,107.8892144,Horota
39.17464983,8.308389085,37.46108672,107.8892144,0,107.8892144,Horota
35.40625018,4.282403335,35.0795077,76.56877015,44.29379705,76.56877015,Horota
30.7092996,4.691496415,31.29657709,66.12862207,36.16573385,45.24832589,Horota
31.82948493,4.437644253,33.1880424,45.24832589,0,45.24832589,Horota
36.75272784,10.47137098,35.13477433,45.24832589,0,45.24832589,Horota
39.05249956,10.97925369,39.73431776,45.24832589,0,45.24832589,Horota
37.89576036,9.853843752,35.19004095,45.24832589,0,45.24832589,Horota
40.93174695,8.247194577,39.73431776,72.29588875,38.25103022,72.29588875,Horota
40.6747975,8.497912621,39.22041887,99.34345161,0,99.34345161,Horota
37.23654709,6.114931158,34.16224317,99.34345161,0,99.34345161,Horota
35.1597913,2.541119501,34.16224317,99.34345161,0,99.34345161,Horota
36.10528519,2.74787637,36.10528519,99.34345161,0,99.34345161,Horota
32.7426769,6.139773267,34.16224317,99.34345161,0,99.34345161,Horota
26.43054718,11.41684288,26.01746032,99.34345161,0,99.34345161,Horota
26.43054718,11.41684288,26.01746032,234.0711399,190.533724,234.0711399,Horota
29.96017811,17.05105897,26.01746032,278.9803693,155.5701342,368.7988281,Horota
35.4637218,17.7477242,37.32734016,368.7988281,0,368.7988281,Horota
41.12556465,17.33740399,48.65102585,368.7988281,0,368.7988281,Horota
46.77654902,6.166829105,48.65102585,368.7988281,0,368.7988281,Horota
44.56563016,7.277578371,48.63721999,368.7988281,0,368.7988281,Horota
43.5477327,7.981860331,43.2473116,383.659668,21.01640126,383.659668,Horota
38.7493128,6.927062607,36.7758731,398.5205078,0,398.5205078,Horota
37.84693404,5.232705126,36.7758731,398.5205078,0,398.5205078,Horota
37.85264823,6.408713481,35.72195472,381.1906128,34.65979004,398.5205078,Horota
43.5472398,10.09734816,45.05531666,381.1906128,34.65979004,398.5205078,Horota
43.5472398,10.09734816,45.05531666,363.8607178,40.02167822,363.8607178,Horota
50.31041271,4.552967271,52.80572942,346.5308228,34.65979004,329.2009277,Horota
52.64732094,0.520480145,52.80572942,329.2009277,0,329.2009277,Horota
48.90079148,7.505100392,52.43588539,329.2009277,0,329.2009277,Horota
40.52475814,15.80307657,44.86362222,329.2009277,0,329.2009277,Horota
40.52475814,15.80307657,44.86362222,221.3744071,152.4897279,221.3744071,Horota
37.56334694,13.62881329,39.44287517,113.5478864,0,113.5478864,Horota
