decibelMedia,decibelDesvioPadrao,decibelMediana,pitchMedia,pitchDesvioPadrao,pitchMediana
57.54346396,5.628049594,57.54346396,186.6099311,7.353807982,186.6099311
53.42161146,0.201130113,53.42161146,189.7942234,6.368584527,192.9785156
54.02679118,1.056983469,54.02679118,190.4310818,5.696235169,192.9785156
52.63872626,2.517693321,53.279391,192.9785156,0,192.9785156
52.63872626,2.517693321,53.279391,197.1841498,9.404084011,192.9785156
48.6107491,8.314099656,51.57099371,198.2355584,10.51408556,192.9785156
47.05453514,9.44222263,49.86259643,203.4926012,12.14062025,203.4926012
45.63881049,7.898207035,49.86259643,208.749644,10.51408556,214.0066867
43.52691752,9.899636219,43.52691752,230.9399123,33.8664512,214.0066867
46.44857683,8.637689384,50.52701743,247.8731379,39.10560944,247.8731379
52.62031807,2.275358507,52.29189543,247.8731379,39.10560944,247.8731379
52.62031807,2.275358507,52.29189543,264.8063635,33.8664512,281.7395891
53.71989756,1.378125586,53.82575589,281.7395891,0,281.7395891
50.52360881,6.490855141,53.05882566,281.7395891,0,281.7395891
49.93417994,7.81743195,53.82575589,346.4117868,91.46029897,346.4117868
44.46526086,8.187553217,40.93474257,367.969186,74.6770214,411.0839844
43.70435969,6.856133567,41.17819937,411.0839844,0,411.0839844
43.33110739,6.122876083,41.17819937,411.0839844,0,411.0839844
44.12989566,7.239201686,41.42165617,378.5602295,72.7253268,411.0839844
47.33385846,8.717733143,46.87720143,346.0364746,89.06997102,411.0839844
51.54402992,7.017198467,53.90435834,313.5127197,89.06997102,248.46521
54.91815451,2.356546458,55.47596998,268.0007642,84.78503738,248.46521
53.16763926,5.321993004,55.47596998,222.4888088,35.56965224,248.46521
48.75267694,9.841238525,51.27858547,209.5006082,35.56965224,183.524207
37.8160608,18.3396575,41.29449545,199.7594577,32.47050149,183.524207
37.97254746,18.54212582,41.29449545,183.524207,0,183.524207
42.40457103,18.86986983,47.08120095,183.524207,0,183.524207
41.23541356,21.57892001,45.80485329,221.4593691,53.64842078,221.4593691
46.91322741,22.53617213,57.160481,259.3945313,0,259.3945313
55.34510896,5.848667863,57.160481,259.3945313,0,259.3945313
55.09283974,7.136423131,58.21904539,259.3945313,0,259.3945313
48.90105173,8.504508002,46.92680849,259.3945313,0,259.3945313
46.83765228,8.077638268,44.24205489,259.3945313,0,259.3945313
43.04385458,3.393369106,41.55730129,329.309082,98.87410592,329.309082
39.38014617,3.017482234,40.64745394,352.6139323,80.73036943,399.2236328
28.71890639,21.46434876,38.29156861,399.2236328,0,399.2236328
10.94881104,33.39837448,16.33543516,399.2236328,0,399.2236328
